SELECT   <KW,1>
from_   <IDN,from_>
.   <OP,16>
_1_   <IDN,_1_>
,   <SE,3>
SUM   <KW,21>
(   <SE,1>
from_   <IDN,from_>
.   <OP,16>
_2_   <IDN,_2_>
)   <SE,2>
FROM   <KW,2>
from_   <IDN,from_>
JOIN   <KW,14>
_1A   <IDN,_1A>
ON   <KW,17>
from_   <IDN,from_>
.   <OP,16>
_1_   <IDN,_1_>
=   <OP,1>
_1A   <IDN,_1A>
.   <OP,16>
cr7   <IDN,cr7>
WHERE   <KW,3>
from_   <IDN,from_>
.   <OP,16>
_2_   <IDN,_2_>
>   <OP,2>
1   <INT,1>
AND   <OP,8>
from_   <IDN,from_>
.   <OP,16>
_3_   <IDN,_3_>
<   <OP,3>
3.1415926   <FLOAT,3.1415926>
OR   <OP,10>
1.25   <FLOAT,1.25>
IS   <KW,31>
NOT   <OP,13>
NULL   <KW,32>
GROUP BY   <KW,24>
from_   <IDN,from_>
.   <OP,16>
_2_   <IDN,_2_>
HAVING   <KW,25>
from_   <IDN,from_>
.   <OP,16>
_3_   <IDN,_3_>
=   <OP,1>
"ORDER BY #><=="   <STRING,ORDER BY #><==>